text,predicted_sentiment
"""Bagai pisau bermata dua. Jika penggunaannya tidak difikirikan secara matang dan memakan secara mentah mentah output dari chatGPT, maka pasti akan menghasilkan generasi yang tidak kritis, serta tidak dapat mencari solusi secara mandiri. namun jika digunakan sebagai sumber referensi dan menjadi teman diskusi, chatGPT sangat membantu dalam memberikan sudut pandang dan insight yang baru""",negatif
"""baik""",negatif
"""ChatGPT sangat membantu dalam pembelajaran, baik dari sisi dosen maupun mahasiswa. Dengan adanya ChatGPT pemahaman dan pencairan di satu topik, mulai dari topik yang mudah hingga sulit menjadi lebih mudah. Namun, penggunaan ini juga harus disertai dengan etika menggunakan chatGPT terutama di sisi mahasiswa. Hal ini untuk mengurangi ketergantungan akan chatGPT dan budaya mencontek di kalangan mahasiswa. Mahasiswa harus paham bahwa chatGPT adalah referensi tambahan, bukan alat untuk mencari jawaban secara instan.""",negatif
"""perlu ada batasan dalam penggunaan chatgpt dalam pendidikan baik untuk dosen dan mahasiswa. terutama terkait etika dan plagiarisme""",negatif
"""penggunaan chatgpt dipendidikan bisa membawa pengaruh positif dan bisa juga negatif. tergantung dari kepribadian. 1. bagi mhs: melihat mhs generasi saat ini banyak yg menggunakan chatgpt untuk tugas, kasus ini mengajarkan mhs malas dan tidak berkembang. Penggunaan chatgpt harus dibatasi. 2. bagi pengajar: membawa pengaruh positif dalam aktif mengembangkan materi dan ilmu dengan cepat tapi tetap berdasarkan sumber yg pasti.""",negatif
"""ChatGPT dapat menjadi sarana dalam mencari penjelasan tambahan dan menjadi alternarif dalam menambah pemahaman dalam topik yang ada""",negatif
"""Tidak apa-apa sebagai partner diskusi. Bukan untuk mengerjakan tugas mahasiswa. Digunakan dengan bijak sana sebagai penambah pemahaman, bukan menyerahkan pengerjaan tugas pada Chatgpt. Salah sudut pandang menggunakan bisa berakibat skill (hard dan soft) tidak terbentuk.""",negatif
"""Penggunaan Chat GPT dalam pendidikan sangat membantu pemahaman terkait topik yang sulit untuk di pahami, namun adanya ChatGPT memberikan pengaruh negatif bagi orang orang yang mengandalkan AI dalam belajar sehingga tingkat daya berfikir dengan keberadaan AI semakin pasif oleh sebab itu penerapan AI dalam seluruh aspek baik pendidikan, pekerjaan dll harus adanya batasan dalam pemakaian AI""",positif
"""sangat membantu, terutama ketika susah mencari referensi""",negatif
"""Sangat membantu dalam proses brainstorming ide dan juga mempercepat proses memperoleh informasi""",negatif
"""sangat membantu""",negatif
